station_id;00:00;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;capacity;lat;long;DisttoCentre;labels;labelsPCA
24;67,0;69,0;70,0;70,0;67,0;53,0;21,0;8,0;17,0;22,0;21,0;27,0;38,0;37,0;38,0;33,0;34,0;32,0;32,0;36,0;41,0;49,0;53,0;58,0;30;41,40065899999981;2,179110999999986;1,69;5;3
25;7,0;6,0;6,0;11,0;15,0;17,0;30,0;19,0;23,0;29,0;31,0;26,0;16,0;9,0;10,0;10,0;15,0;10,0;12,0;11,0;19,0;19,0;11,0;7,0;21;41,39517899999946;2,168293999999999;0,92;2;5
26;94,0;95,0;94,0;93,0;87,0;49,0;12,0;7,0;6,0;11,0;20,0;39,0;46,0;56,0;59,0;58,0;59,0;68,0;67,0;75,0;75,0;78,0;87,0;90,0;18;41,407035000000164;2,1819809999999698;2,44;4;4
27;2,0;2,0;6,0;16,0;22,0;24,0;19,0;11,0;13,0;13,0;14,0;12,0;6,0;8,0;5,0;8,0;6,0;7,0;9,0;6,0;6,0;4,0;3,0;2,0;21;41,3968969999996;2,1643730000000065;1,2;2;5
28;33,0;34,0;37,0;40,0;40,0;21,0;7,0;4,0;4,0;5,0;7,0;10,0;11,0;9,0;7,0;8,0;10,0;11,0;19,0;31,0;33,0;30,0;28,0;31,0;23;41,40542199999983;2,1706400000000294;2,04;5;3
29;31,0;33,0;35,0;32,0;27,0;19,0;9,0;8,0;10,0;12,0;11,0;14,0;17,0;15,0;13,0;15,0;15,0;18,0;25,0;27,0;28,0;34,0;27,0;24,0;23;41,40113199999987;2,1700280000000016;1,57;2;5
30;89,0;89,0;89,0;85,0;74,0;48,0;18,0;10,0;9,0;15,0;22,0;33,0;52,0;64,0;62,0;53,0;48,0;51,0;51,0;68,0;76,0;75,0;77,0;83,0;21;41,4020459999995;2,1822859999999813;1,96;4;4
31;41,0;32,0;21,0;17,0;12,0;29,0;67,0;88,0;89,0;88,0;88,0;88,0;85,0;80,0;76,0;74,0;76,0;74,0;76,0;72,0;61,0;46,0;38,0;41,0;18;41,374810000000295;2,188949999999982;2,08;1;1
32;17,0;14,0;12,0;11,0;18,0;49,0;81,0;92,0;93,0;92,0;86,0;83,0;84,0;74,0;76,0;74,0;71,0;70,0;52,0;27,0;15,0;8,0;9,0;7,0;27;41,37369799999964;2,1889269999999863;2,16;3;2
33;71,0;53,0;39,0;32,0;27,0;21,0;20,0;48,0;67,0;77,0;77,0;79,0;79,0;73,0;68,0;67,0;75,0;78,0;81,0;82,0;81,0;83,0;88,0;85,0;21;41,376862000000166;2,19077300000002;2,07;1;1
34;42,0;44,0;40,0;37,0;36,0;35,0;25,0;39,0;51,0;58,0;62,0;56,0;58,0;58,0;59,0;67,0;69,0;60,0;64,0;64,0;60,0;51,0;46,0;44,0;21;41,387073999999465;2,175246999999979;0,43;1;1
35;39,0;36,0;35,0;32,0;23,0;30,0;69,0;77,0;85,0;82,0;62,0;47,0;37,0;50,0;51,0;38,0;24,0;15,0;12,0;12,0;17,0;31,0;36,0;41,0;27;41,413592000000534;2,2211529999999744;5,19;3;2
36;37,0;36,0;37,0;35,0;41,0;60,0;78,0;83,0;81,0;81,0;79,0;69,0;55,0;56,0;54,0;46,0;58,0;64,0;60,0;49,0;49,0;48,0;40,0;36,0;21;41,38515099999961;2,1768039999999673;0,6;1;1
37;66,0;61,0;46,0;30,0;24,0;23,0;22,0;26,0;41,0;55,0;67,0;75,0;77,0;74,0;70,0;67,0;74,0;79,0;82,0;85,0;89,0;88,0;86,0;77,0;24;41,381226000000446;2,1818880000000074;1,18;1;1
39;65,0;53,0;46,0;38,0;33,0;27,0;30,0;64,0;85,0;86,0;82,0;79,0;76,0;75,0;76,0;70,0;64,0;61,0;69,0;80,0;87,0;89,0;87,0;83,0;44;41,38104599999963;2,1865759999999987;1,53;1;1
40;82,0;72,0;57,0;41,0;36,0;34,0;66,0;73,0;81,0;80,0;78,0;74,0;60,0;69,0;71,0;76,0;76,0;75,0;81,0;84,0;86,0;87,0;85,0;84,0;18;41,38233499999945;2,187093000000004;1,52;1;1
41;87,0;81,0;74,0;69,0;58,0;26,0;6,0;7,0;28,0;32,0;37,0;48,0;55,0;64,0;74,0;80,0;86,0;82,0;79,0;85,0;88,0;86,0;88,0;90,0;21;41,37932599999947;2,1899060000000032;1,87;4;4
42;19,0;21,0;14,0;13,0;19,0;52,0;81,0;86,0;91,0;80,0;80,0;69,0;65,0;60,0;51,0;35,0;18,0;22,0;16,0;14,0;21,0;28,0;13,0;11,0;24;41,40451100000042;2,1898810000000126;2,55;3;2
44;27,0;31,0;33,0;34,0;35,0;47,0;66,0;74,0;74,0;69,0;61,0;52,0;42,0;39,0;31,0;15,0;8,0;6,0;5,0;6,0;14,0;18,0;14,0;14,0;21;41,402285000000106;2,1871109999999754;2,22;3;2
45;40,0;33,0;25,0;25,0;23,0;13,0;7,0;40,0;69,0;80,0;80,0;82,0;88,0;88,0;84,0;79,0;69,0;59,0;52,0;60,0;67,0;73,0;71,0;54,0;27;41,391428999999555;2,189311999999978;1,68;1;1
